FBQ 0951+2635 R 16.992709  18.034618  0.0122744 0.0126427 19.120347 0.013807705 19.482423 0.014300140 2451176.75
FBQ 0951+2635 R 16.949270  17.978877  0.0116044 0.0119707 19.113149 0.013831616 19.492741 0.015953711 2451243.56
FBQ 0951+2635 R 16.920836  17.940096  0.0078402 0.0085687 19.130056 0.013900347 19.478551 0.016928954 2451284.35
FBQ 0951+2635 R 16.921943  17.921308  0.0106942 0.0111525 19.124617 0.013865446 19.488171 0.016369753 2451293.41
FBQ 0951+2635 R 16.903616  17.904475  0.0117503 0.0122057 19.124680 0.013849218 19.524657 0.015659789 2451312.44
FBQ 0951+2635 R 16.862798  17.944382  0.0104246 0.0109116 19.134758 0.013842289 19.476014 0.015616346 2451457.71
FBQ 0951+2635 R 16.851988  17.883746  0.0062832 0.0084698 19.126692 0.013782970 19.501844 0.014435887 2451466.77
FBQ 0951+2635 R 16.870338  17.913338  0.0105393 0.0111023 19.126316 0.013781707 19.512694 0.014083847 2451471.72
FBQ 0951+2635 R 16.867615  17.936585  0.0103437 0.0108806 19.094160 0.014071862 19.418735 0.022082521 2451485.68
FBQ 0951+2635 R 16.880539  17.931990  0.0039793 0.0051447 19.106263 0.013856345 19.421328 0.015121674 2451538.77
FBQ 0951+2635 R 16.865312  17.907113  0.0123886 0.0127311 19.147895 0.013857504 19.470908 0.016453767 2451547.63
FBQ 0951+2635 R 16.855441  17.873516  0.0125382 0.0127244 19.105739 0.013940485 19.501384 0.022208684 2451587.46
FBQ 0951+2635 R 16.844608  17.863082  0.0067235 0.0072235 19.134932 0.013783441 19.511825 0.014415147 2451596.57
FBQ 0951+2635 R 16.841846  17.895178  0.0129032 0.0130755 19.119795 0.013814855 19.504479 0.015086975 2451610.56
FBQ 0951+2635 R 16.844951  17.885690  0.0080746 0.0085439 19.124043 0.013794309 19.468493 0.014835601 2451623.40
FBQ 0951+2635 R 16.861660  17.898676  0.0105123 0.0110129 19.104203 0.013865219 19.456326 0.015949634 2451675.41
FBQ 0951+2635 R 16.863279  17.899549  0.0103627 0.0106677 19.124836 0.013788088 19.499720 0.014183901 2451682.38
FBQ 0951+2635 R 16.880199  17.916674  0.0120163 0.0123721 19.112471 0.013880340 19.519183 0.018577257 2451696.40
FBQ 0951+2635 R 16.866450  17.906396  0.0045824 0.0061145 19.133440 0.013831234 19.486610 0.016333501 2451703.40
FBQ 0951+2635 R 16.871481  17.934753  0.0095932 0.0101394 19.133569 0.013859803 19.490971 0.016356478 2451723.39
FBQ 0951+2635 R 16.891041  17.986269  0.0109143 0.0114012 19.119965 0.013834873 19.481175 0.015792936 2451821.75
FBQ 0951+2635 R 16.896003  17.955737  0.0111720 0.0113642 19.136559 0.013828723 19.480894 0.015218081 2451834.73
FBQ 0951+2635 R 16.879795  17.970869  0.0126409 0.0128128 19.096878 0.013967582 19.436984 0.017929207 2451845.73
FBQ 0951+2635 R 16.894209  17.943196  0.0042684 0.0056762 19.140959 0.013870139 19.497979 0.015667505 2451851.76
FBQ 0951+2635 R 16.866219  17.944543  0.0109743 0.0112793 19.101035 0.013877617 19.468187 0.017442770 2451861.73
FBQ 0951+2635 R 16.872078  17.953676  0.0085913 0.0091732 19.126812 0.013863490 19.521216 0.016408040 2451865.73
FBQ 0951+2635 R 16.882127  17.955942  0.0125129 0.0128133 19.153717 0.013810298 19.505930 0.015129165 2451870.76
FBQ 0951+2635 R 16.888764  17.929586  0.0122424 0.0126007 19.131944 0.013797467 19.487918 0.014854928 2451880.74
FBQ 0951+2635 R 16.893100  17.945269  0.0123475 0.0126993 19.114313 0.013926707 19.511076 0.020537456 2451907.76
FBQ 0951+2635 R 16.887662  17.972687  0.0122124 0.0123627 19.105902 0.013820950 19.475602 0.014776934 2451914.55
FBQ 0951+2635 R 16.896969  17.969818  0.0095270 0.0100416 19.146569 0.013860617 19.493764 0.016385478 2451923.66
FBQ 0951+2635 R 16.897377  17.958831  0.0120538 0.0124478 19.135314 0.013811676 19.493437 0.014292094 2451928.57
FBQ 0951+2635 R 16.867510  17.968184  0.0076510 0.0094711 19.136351 0.013891461 19.503001 0.017352248 2451945.68
FBQ 0951+2635 R 16.898735  17.955738  0.0126376 0.0129884 19.124129 0.013826723 19.503457 0.014864473 2451959.52
FBQ 0951+2635 R 16.884034  17.969461  0.0042291 0.0055371 19.120140 0.013817373 19.520684 0.014550879 2451967.62
FBQ 0951+2635 R 16.884285  17.954437  0.0126648 0.0130048 19.144934 0.013794118 19.534463 0.015241120 2451983.47
FBQ 0951+2635 R 16.889696  17.956140  0.0130337 0.0131508 19.119829 0.013884220 19.533765 0.017750150 2451999.36
FBQ 0951+2635 R 16.886299  17.960918  0.0134442 0.0135783 19.121428 0.013821902 19.496912 0.015105136 2452000.35
FBQ 0951+2635 R 16.880295  17.929751  0.0040531 0.0054936 19.099264 0.014002759 19.455817 0.017569236 2452003.37
FBQ 0951+2635 R 16.895846  17.932691  0.0103642 0.0106085 19.094316 0.013906281 19.449698 0.016586867 2452007.48
FBQ 0951+2635 R 16.895825  17.965255  0.0121185 0.0123055 19.085406 0.013906838 19.462510 0.017683878 2452008.36
FBQ 0951+2635 R 16.909523  17.965818  0.0133956 0.0134637 19.107931 0.013836224 19.481380 0.016996284 2452013.42
FBQ 0951+2635 R 16.885167  17.948287  0.0129423 0.0130618 19.130773 0.013812789 19.525274 0.014868060 2452014.38
FBQ 0951+2635 R 16.898816  17.953915  0.0086892 0.0091713 19.148099 0.013932938 19.527538 0.021234268 2452016.40
FBQ 0951+2635 R 16.917229  17.951211  0.0134910 0.0136049 19.147977 0.013812686 19.508021 0.014486790 2452022.39
FBQ 0951+2635 R 16.923007  17.965599  0.0129227 0.0130598 19.148200 0.013777790 19.500059 0.014440096 2452026.42
FBQ 0951+2635 R 16.906482  17.981935  0.0111480 0.0113552 19.144386 0.013771457 19.489314 0.013947707 2452030.44
FBQ 0951+2635 R 16.922141  17.975225  0.0103913 0.0106341 19.135155 0.013781629 19.496244 0.014553395 2452033.42
FBQ 0951+2635 R 16.907873  17.972477  0.0111268 0.0114910 19.137579 0.013797823 19.509583 0.014943108 2452037.42
FBQ 0951+2635 R 16.929039  17.991203  0.0129533 0.0130885 19.127224 0.013838793 19.486634 0.014117430 2452047.40
FBQ 0951+2635 R 16.927728  18.001496  0.0130892 0.0132157 19.128467 0.013777552 19.514531 0.014502249 2452051.39
FBQ 0951+2635 R 16.929106  18.025580  0.0131267 0.0132529 19.134794 0.013780329 19.509152 0.014461936 2452055.40
FBQ 0951+2635 R 16.936453  18.009050  0.0106027 0.0108315 19.159283 0.013819508 19.512907 0.016321199 2452058.38
FBQ 0951+2635 R 16.943759  17.959676  0.0081699 0.0086049 19.156133 0.013809766 19.522428 0.015438366 2452059.38
FBQ 0951+2635 R 16.933074  18.014459  0.0068614 0.0073612 19.141548 0.013765144 19.505601 0.014014124 2452060.38
FBQ 0951+2635 R 16.921842  17.998561  0.0044078 0.0071272 19.147866 0.013811678 19.487119 0.015711978 2452071.38
FBQ 0951+2635 R 16.937465  18.054031  0.0121674 0.0123452 19.141910 0.013834839 19.511048 0.015714603 2452077.39
FBQ 0951+2635 R 16.944463  18.026573  0.0115327 0.0117283 19.108928 0.013834722 19.455369 0.015313457 2452081.38









